date,product_id,product_name,recommended_count,click_count,conversion_count
2025-07-08,10,프리미엄 호텔 침구 세트,71,14,1
2025-07-09,1,감성 무드등,55,5,0
2025-07-09,2,메모리폼 경추 베개,58,12,2
2025-07-09,3,원목 핸들 머그컵,98,17,4
2025-07-09,4,무광 세라믹 접시 세트,80,7,1
2025-07-09,5,북유럽 패브릭 포스터,81,11,4
2025-07-09,6,대용량 디퓨저,91,12,2
2025-07-09,7,아로마 캔들 세트,74,10,2
2025-07-09,8,무선 미니 가습기,60,6,0
2025-07-09,9,탁상용 저소음 선풍기,102,13,1
2025-07-09,10,프리미엄 호텔 침구 세트,76,5,1
2025-07-10,1,감성 무드등,74,8,2
2025-07-10,2,메모리폼 경추 베개,74,14,1
2025-07-10,3,원목 핸들 머그컵,72,7,0
2025-07-10,4,무광 세라믹 접시 세트,96,9,2
2025-07-10,5,북유럽 패브릭 포스터,61,4,0
2025-07-10,6,대용량 디퓨저,94,13,3
2025-07-10,7,아로마 캔들 세트,82,9,2
2025-07-10,8,무선 미니 가습기,77,8,0
2025-07-10,9,탁상용 저소음 선풍기,100,8,0
2025-07-10,10,프리미엄 호텔 침구 세트,66,6,0
2025-07-11,1,감성 무드등,73,12,1
2025-07-11,2,메모리폼 경추 베개,74,7,2
2025-07-11,3,원목 핸들 머그컵,68,10,0
2025-07-11,4,무광 세라믹 접시 세트,77,9,2
2025-07-11,5,북유럽 패브릭 포스터,71,7,3
2025-07-11,6,대용량 디퓨저,76,14,4
2025-07-11,7,아로마 캔들 세트,102,14,3
2025-07-11,8,무선 미니 가습기,72,7,0
2025-07-11,9,탁상용 저소음 선풍기,139,23,2
2025-07-11,10,프리미엄 호텔 침구 세트,94,20,1
2025-07-12,1,감성 무드등,74,10,5
2025-07-12,2,메모리폼 경추 베개,59,13,3
2025-07-12,3,원목 핸들 머그컵,63,8,1
2025-07-12,4,무광 세라믹 접시 세트,71,11,2
2025-07-12,5,북유럽 패브릭 포스터,71,10,3
2025-07-12,6,대용량 디퓨저,92,13,3
2025-07-12,7,아로마 캔들 세트,110,15,3
2025-07-12,8,무선 미니 가습기,81,7,0
2025-07-12,9,탁상용 저소음 선풍기,153,23,1
2025-07-12,10,프리미엄 호텔 침구 세트,77,12,2
2025-07-13,1,감성 무드등,73,12,0
2025-07-13,2,메모리폼 경추 베개,83,12,1
2025-07-13,3,원목 핸들 머그컵,105,9,4
2025-07-13,4,무광 세라믹 접시 세트,91,14,0
2025-07-13,5,북유럽 패브릭 포스터,70,5,1
2025-07-13,6,대용량 디퓨저,84,5,1
2025-07-13,7,아로마 캔들 세트,84,10,2
2025-07-13,8,무선 미니 가습기,66,10,1
2025-07-13,9,탁상용 저소음 선풍기,118,11,1
2025-07-13,10,프리미엄 호텔 침구 세트,82,11,0
2025-07-14,1,감성 무드등,64,5,0
2025-07-14,2,메모리폼 경추 베개,92,15,5
2025-07-14,3,원목 핸들 머그컵,92,16,2
2025-07-14,4,무광 세라믹 접시 세트,102,14,1
2025-07-14,5,북유럽 패브릭 포스터,54,11,2
2025-07-14,6,대용량 디퓨저,96,11,2
2025-07-14,7,아로마 캔들 세트,70,11,2
2025-07-14,8,무선 미니 가습기,67,6,0
2025-07-14,9,탁상용 저소음 선풍기,99,11,1
2025-07-14,10,프리미엄 호텔 침구 세트,86,1,0
2025-07-15,1,감성 무드등,66,10,0
2025-07-15,2,메모리폼 경추 베개,67,10,1
2025-07-15,3,원목 핸들 머그컵,98,15,3
2025-07-15,4,무광 세라믹 접시 세트,78,6,3
2025-07-15,5,북유럽 패브릭 포스터,50,3,3
2025-07-15,6,대용량 디퓨저,86,15,4
2025-07-15,7,아로마 캔들 세트,89,17,4
2025-07-15,8,무선 미니 가습기,77,11,1
2025-07-15,9,탁상용 저소음 선풍기,96,12,1
2025-07-15,10,프리미엄 호텔 침구 세트,86,17,6
2025-07-16,1,감성 무드등,78,0,0
2025-07-16,2,메모리폼 경추 베개,89,8,0
2025-07-16,3,원목 핸들 머그컵,116,19,5
2025-07-16,4,무광 세라믹 접시 세트,91,18,0
2025-07-16,5,북유럽 패브릭 포스터,72,9,2
2025-07-16,6,대용량 디퓨저,82,8,2
2025-07-16,7,아로마 캔들 세트,74,14,4
2025-07-16,8,무선 미니 가습기,66,10,0
2025-07-16,9,탁상용 저소음 선풍기,89,10,0
2025-07-16,10,프리미엄 호텔 침구 세트,63,3,0
2025-07-17,1,감성 무드등,81,9,1
2025-07-17,2,메모리폼 경추 베개,89,12,4
2025-07-17,3,원목 핸들 머그컵,95,11,1
2025-07-17,4,무광 세라믹 접시 세트,83,8,3
2025-07-17,5,북유럽 패브릭 포스터,78,11,2
2025-07-17,6,대용량 디퓨저,85,9,2
2025-07-17,7,아로마 캔들 세트,93,11,3
2025-07-17,8,무선 미니 가습기,81,5,0
2025-07-17,9,탁상용 저소음 선풍기,96,8,0
2025-07-17,10,프리미엄 호텔 침구 세트,72,8,2
2025-07-18,1,감성 무드등,79,13,2
2025-07-18,2,메모리폼 경추 베개,61,8,1
2025-07-18,3,원목 핸들 머그컵,101,11,2
2025-07-18,4,무광 세라믹 접시 세트,82,10,0
2025-07-18,5,북유럽 패브릭 포스터,64,10,0
2025-07-18,6,대용량 디퓨저,93,7,2
2025-07-18,7,아로마 캔들 세트,96,11,2
2025-07-18,8,무선 미니 가습기,80,11,1
2025-07-18,9,탁상용 저소음 선풍기,110,14,1
2025-07-18,10,프리미엄 호텔 침구 세트,87,9,2
2025-07-19,1,감성 무드등,78,14,3
2025-07-19,2,메모리폼 경추 베개,92,10,2
2025-07-19,3,원목 핸들 머그컵,81,6,1
2025-07-19,4,무광 세라믹 접시 세트,65,10,1
2025-07-19,5,북유럽 패브릭 포스터,87,10,0
2025-07-19,6,대용량 디퓨저,91,11,3
2025-07-19,7,아로마 캔들 세트,65,5,1
2025-07-19,8,무선 미니 가습기,94,12,1
2025-07-19,9,탁상용 저소음 선풍기,138,13,1
2025-07-19,10,프리미엄 호텔 침구 세트,81,10,1
2025-07-20,1,감성 무드등,93,15,1
2025-07-20,2,메모리폼 경추 베개,98,11,1
2025-07-20,3,원목 핸들 머그컵,68,10,1
2025-07-20,4,무광 세라믹 접시 세트,86,11,1
2025-07-20,5,북유럽 패브릭 포스터,76,7,0
2025-07-20,6,대용량 디퓨저,68,8,2
2025-07-20,7,아로마 캔들 세트,83,16,4
2025-07-20,8,무선 미니 가습기,73,7,0
2025-07-20,9,탁상용 저소음 선풍기,121,17,1
2025-07-20,10,프리미엄 호텔 침구 세트,76,9,1
2025-07-21,1,감성 무드등,68,3,0
2025-07-21,2,메모리폼 경추 베개,77,8,1
2025-07-21,3,원목 핸들 머그컵,100,9,1
2025-07-21,4,무광 세라믹 접시 세트,82,14,1
2025-07-21,5,북유럽 패브릭 포스터,76,11,3
2025-07-21,6,대용량 디퓨저,83,11,3
2025-07-21,7,아로마 캔들 세트,86,14,3
2025-07-21,8,무선 미니 가습기,65,8,1
2025-07-21,9,탁상용 저소음 선풍기,99,13,1
2025-07-21,10,프리미엄 호텔 침구 세트,59,7,0
2025-07-22,1,감성 무드등,90,19,1
2025-07-22,2,메모리폼 경추 베개,76,12,1
2025-07-22,3,원목 핸들 머그컵,86,9,2
2025-07-22,4,무광 세라믹 접시 세트,103,13,1
2025-07-22,5,북유럽 패브릭 포스터,69,2,1
2025-07-22,6,대용량 디퓨저,87,12,3
2025-07-22,7,아로마 캔들 세트,86,13,3
2025-07-22,8,무선 미니 가습기,47,6,0
2025-07-22,9,탁상용 저소음 선풍기,104,12,1
2025-07-22,10,프리미엄 호텔 침구 세트,76,6,0
2025-07-23,1,감성 무드등,87,8,1
2025-07-23,2,메모리폼 경추 베개,70,10,2
2025-07-23,3,원목 핸들 머그컵,87,12,0
2025-07-23,4,무광 세라믹 접시 세트,91,7,1
2025-07-23,5,북유럽 패브릭 포스터,69,8,2
2025-07-23,6,대용량 디퓨저,104,14,3
2025-07-23,7,아로마 캔들 세트,81,11,3
2025-07-23,8,무선 미니 가습기,72,13,1
2025-07-23,9,탁상용 저소음 선풍기,85,10,0
2025-07-23,10,프리미엄 호텔 침구 세트,59,0,0
2025-07-24,1,감성 무드등,96,12,3
2025-07-24,2,메모리폼 경추 베개,87,9,1
2025-07-24,3,원목 핸들 머그컵,99,15,3
2025-07-24,4,무광 세라믹 접시 세트,104,16,3
2025-07-24,5,북유럽 패브릭 포스터,69,9,1
2025-07-24,6,대용량 디퓨저,86,10,2
2025-07-24,7,아로마 캔들 세트,75,8,2
2025-07-24,8,무선 미니 가습기,97,13,1
2025-07-24,9,탁상용 저소음 선풍기,129,12,1
2025-07-24,10,프리미엄 호텔 침구 세트,68,11,0
2025-07-25,1,감성 무드등,65,11,1
2025-07-25,2,메모리폼 경추 베개,73,10,1
2025-07-25,3,원목 핸들 머그컵,82,14,2
2025-07-25,4,무광 세라믹 접시 세트,97,16,5
2025-07-25,5,북유럽 패브릭 포스터,56,6,1
2025-07-25,6,대용량 디퓨저,64,9,2
2025-07-25,7,아로마 캔들 세트,79,10,2
2025-07-25,8,무선 미니 가습기,69,10,1
2025-07-25,9,탁상용 저소음 선풍기,94,13,1
2025-07-25,10,프리미엄 호텔 침구 세트,89,15,1
2025-07-26,1,감성 무드등,97,12,2
2025-07-26,2,메모리폼 경추 베개,66,7,1
2025-07-26,3,원목 핸들 머그컵,72,8,2
2025-07-26,4,무광 세라믹 접시 세트,69,13,2
2025-07-26,5,북유럽 패브릭 포스터,80,15,2
2025-07-26,6,대용량 디퓨저,96,15,4
2025-07-26,7,아로마 캔들 세트,110,15,3
2025-07-26,8,무선 미니 가습기,88,12,1
2025-07-26,9,탁상용 저소음 선풍기,138,16,1
2025-07-26,10,프리미엄 호텔 침구 세트,75,10,1
2025-07-27,1,감성 무드등,69,13,3
2025-07-27,2,메모리폼 경추 베개,87,11,4
2025-07-27,3,원목 핸들 머그컵,65,4,1
2025-07-27,4,무광 세라믹 접시 세트,91,13,3
2025-07-27,5,북유럽 패브릭 포스터,92,17,7
2025-07-27,6,대용량 디퓨저,92,16,3
2025-07-27,7,아로마 캔들 세트,82,6,1
2025-07-27,8,무선 미니 가습기,68,11,1
2025-07-27,9,탁상용 저소음 선풍기,122,14,1
2025-07-27,10,프리미엄 호텔 침구 세트,88,16,3
2025-07-28,1,감성 무드등,60,8,0
2025-07-28,2,메모리폼 경추 베개,72,12,1
2025-07-28,3,원목 핸들 머그컵,90,14,2
2025-07-28,4,무광 세라믹 접시 세트,92,10,0
2025-07-28,5,북유럽 패브릭 포스터,62,16,2
2025-07-28,6,대용량 디퓨저,89,17,4
2025-07-28,7,아로마 캔들 세트,85,12,3
2025-07-28,8,무선 미니 가습기,89,8,1
2025-07-28,9,탁상용 저소음 선풍기,95,9,1
2025-07-28,10,프리미엄 호텔 침구 세트,67,10,2
2025-07-29,1,감성 무드등,84,2,1
2025-07-29,2,메모리폼 경추 베개,83,10,1
2025-07-29,3,원목 핸들 머그컵,94,12,2
2025-07-29,4,무광 세라믹 접시 세트,100,17,4
2025-07-29,5,북유럽 패브릭 포스터,77,15,6
2025-07-29,6,대용량 디퓨저,82,17,4
2025-07-29,7,아로마 캔들 세트,61,10,3
2025-07-29,8,무선 미니 가습기,75,9,0
2025-07-29,9,탁상용 저소음 선풍기,73,6,0
2025-07-29,10,프리미엄 호텔 침구 세트,76,11,2
2025-07-30,1,감성 무드등,79,10,0
2025-07-30,2,메모리폼 경추 베개,85,12,0
2025-07-30,3,원목 핸들 머그컵,95,8,2
2025-07-30,4,무광 세라믹 접시 세트,69,14,4
2025-07-30,5,북유럽 패브릭 포스터,82,4,0
2025-07-30,6,대용량 디퓨저,85,10,3
2025-07-30,7,아로마 캔들 세트,68,7,2
2025-07-30,8,무선 미니 가습기,68,1,0
2025-07-30,9,탁상용 저소음 선풍기,80,9,0
2025-07-30,10,프리미엄 호텔 침구 세트,65,6,0
2025-07-31,1,감성 무드등,71,11,2
2025-07-31,2,메모리폼 경추 베개,66,5,0
2025-07-31,3,원목 핸들 머그컵,83,9,0
2025-07-31,4,무광 세라믹 접시 세트,91,6,1
2025-07-31,5,북유럽 패브릭 포스터,70,3,1
2025-07-31,6,대용량 디퓨저,78,11,2
2025-07-31,7,아로마 캔들 세트,90,13,3
2025-07-31,8,무선 미니 가습기,72,8,0
2025-07-31,9,탁상용 저소음 선풍기,102,12,0
2025-07-31,10,프리미엄 호텔 침구 세트,66,8,1
2025-08-01,1,감성 무드등,103,6,1
2025-08-01,2,메모리폼 경추 베개,68,6,0
2025-08-01,3,원목 핸들 머그컵,68,8,3
2025-08-01,4,무광 세라믹 접시 세트,75,5,2
2025-08-01,5,북유럽 패브릭 포스터,70,2,0
2025-08-01,6,대용량 디퓨저,70,10,2
2025-08-01,7,아로마 캔들 세트,72,3,1
2025-08-01,8,무선 미니 가습기,67,6,0
2025-08-01,9,탁상용 저소음 선풍기,109,15,1
2025-08-01,10,프리미엄 호텔 침구 세트,85,12,2
2025-08-02,1,감성 무드등,82,4,1
2025-08-02,2,메모리폼 경추 베개,72,7,1
2025-08-02,3,원목 핸들 머그컵,88,11,3
2025-08-02,4,무광 세라믹 접시 세트,88,19,1
2025-08-02,5,북유럽 패브릭 포스터,84,8,2
2025-08-02,6,대용량 디퓨저,117,14,3
2025-08-02,7,아로마 캔들 세트,97,15,4
2025-08-02,8,무선 미니 가습기,84,13,1
2025-08-02,9,탁상용 저소음 선풍기,131,18,1
2025-08-02,10,프리미엄 호텔 침구 세트,102,16,3
2025-08-03,1,감성 무드등,68,11,2
2025-08-03,2,메모리폼 경추 베개,95,13,3
2025-08-03,3,원목 핸들 머그컵,65,5,1
2025-08-03,4,무광 세라믹 접시 세트,80,11,3
2025-08-03,5,북유럽 패브릭 포스터,71,13,3
2025-08-03,6,대용량 디퓨저,83,9,2
2025-08-03,7,아로마 캔들 세트,92,13,4
2025-08-03,8,무선 미니 가습기,74,11,1
2025-08-03,9,탁상용 저소음 선풍기,120,18,1
2025-08-03,10,프리미엄 호텔 침구 세트,74,9,1
2025-08-04,1,감성 무드등,79,7,0
2025-08-04,2,메모리폼 경추 베개,80,11,1
2025-08-04,3,원목 핸들 머그컵,90,13,0
2025-08-04,4,무광 세라믹 접시 세트,78,3,0
2025-08-04,5,북유럽 패브릭 포스터,60,6,1
2025-08-04,6,대용량 디퓨저,77,7,1
2025-08-04,7,아로마 캔들 세트,73,9,2
2025-08-04,8,무선 미니 가습기,88,14,1
2025-08-04,9,탁상용 저소음 선풍기,84,20,1
2025-08-04,10,프리미엄 호텔 침구 세트,84,10,2
2025-08-05,1,감성 무드등,76,9,1
2025-08-05,2,메모리폼 경추 베개,55,11,0
2025-08-05,3,원목 핸들 머그컵,88,11,0
2025-08-05,4,무광 세라믹 접시 세트,95,9,4
2025-08-05,5,북유럽 패브릭 포스터,80,14,1
2025-08-05,6,대용량 디퓨저,80,10,3
