date,product_id,product_name,category,orders,delayed_shipments,avg_delivery_days,delivery_issue_rate,rating
2025-06-18,3,원목 핸들 머그컵,주방,9,0,1.8,0.0,4.19
2025-06-18,4,무광 세라믹 접시 세트,주방,5,0,1.84,0.0,3.85
2025-06-18,5,북유럽 패브릭 포스터,인테리어,6,0,1.96,0.0,4.35
2025-06-18,6,대용량 디퓨저,생활,10,0,1.85,0.0,4.51
2025-06-18,7,아로마 캔들 세트,생활,7,0,2.28,0.0,4.0
2025-06-18,8,무선 미니 가습기,가전,2,0,1.61,0.0,4.23
2025-06-18,9,탁상용 저소음 선풍기,가전,12,0,1.47,0.0,3.94
2025-06-18,10,프리미엄 호텔 침구 세트,침실,6,2,2.26,0.3333,4.31
2025-06-19,1,감성 무드등,조명,4,0,1.85,0.0,4.51
2025-06-19,2,메모리폼 경추 베개,침실,2,0,1.28,0.0,4.63
2025-06-19,3,원목 핸들 머그컵,주방,7,1,1.94,0.1,4.25
2025-06-19,4,무광 세라믹 접시 세트,주방,8,0,1.52,0.0,3.74
2025-06-19,5,북유럽 패브릭 포스터,인테리어,3,0,2.21,0.0,4.33
2025-06-19,6,대용량 디퓨저,생활,5,0,1.09,0.0,4.55
2025-06-19,7,아로마 캔들 세트,생활,6,1,1.87,0.1667,4.05
2025-06-19,8,무선 미니 가습기,가전,6,1,1.51,0.1429,4.36
2025-06-19,9,탁상용 저소음 선풍기,가전,11,1,1.61,0.0909,3.99
2025-06-19,10,프리미엄 호텔 침구 세트,침실,4,0,2.09,0.0,4.46
2025-06-20,1,감성 무드등,조명,9,0,2.07,0.0,4.51
2025-06-20,2,메모리폼 경추 베개,침실,5,0,1.95,0.0,4.56
2025-06-20,3,원목 핸들 머그컵,주방,6,0,1.77,0.0,4.27
2025-06-20,4,무광 세라믹 접시 세트,주방,8,0,1.87,0.0,3.79
2025-06-20,5,북유럽 패브릭 포스터,인테리어,3,0,1.56,0.0,4.31
2025-06-20,6,대용량 디퓨저,생활,12,0,1.9,0.0,4.59
2025-06-20,7,아로마 캔들 세트,생활,6,0,2.16,0.0,3.96
2025-06-20,8,무선 미니 가습기,가전,7,0,1.51,0.0,4.22
2025-06-20,9,탁상용 저소음 선풍기,가전,9,2,1.97,0.2,3.99
2025-06-20,10,프리미엄 호텔 침구 세트,침실,5,0,2.14,0.0,4.43
2025-06-21,1,감성 무드등,조명,7,0,1.19,0.0,4.4
2025-06-21,2,메모리폼 경추 베개,침실,2,0,1.79,0.0,4.47
2025-06-21,3,원목 핸들 머그컵,주방,5,0,1.82,0.0,4.17
2025-06-21,4,무광 세라믹 접시 세트,주방,6,1,2.07,0.125,3.71
2025-06-21,5,북유럽 패브릭 포스터,인테리어,1,0,1.81,0.0,4.49
2025-06-21,6,대용량 디퓨저,생활,11,0,2.0,0.0,4.42
2025-06-21,7,아로마 캔들 세트,생활,8,0,1.73,0.0,4.05
2025-06-21,8,무선 미니 가습기,가전,4,0,1.63,0.0,4.33
2025-06-21,9,탁상용 저소음 선풍기,가전,13,0,2.11,0.0,4.19
2025-06-21,10,프리미엄 호텔 침구 세트,침실,8,0,1.65,0.0,4.3
2025-06-22,1,감성 무드등,조명,5,0,1.73,0.0,4.48
2025-06-22,2,메모리폼 경추 베개,침실,3,0,1.27,0.0,4.54
2025-06-22,3,원목 핸들 머그컵,주방,9,0,1.38,0.0,4.14
2025-06-22,4,무광 세라믹 접시 세트,주방,4,1,2.02,0.1429,3.83
2025-06-22,5,북유럽 패브릭 포스터,인테리어,4,0,1.55,0.0,4.49
2025-06-22,6,대용량 디퓨저,생활,8,0,1.52,0.0,4.54
2025-06-22,7,아로마 캔들 세트,생활,8,2,2.21,0.25,3.81
2025-06-22,8,무선 미니 가습기,가전,3,0,1.77,0.0,4.38
2025-06-22,9,탁상용 저소음 선풍기,가전,11,0,2.13,0.0,4.14
2025-06-22,10,프리미엄 호텔 침구 세트,침실,3,0,1.78,0.0,4.45
2025-06-23,1,감성 무드등,조명,3,0,2.12,0.0,4.6
2025-06-23,2,메모리폼 경추 베개,침실,5,0,2.24,0.0,4.5
2025-06-23,3,원목 핸들 머그컵,주방,11,0,1.79,0.0,4.05
2025-06-23,4,무광 세라믹 접시 세트,주방,7,1,1.85,0.125,3.78
2025-06-23,5,북유럽 패브릭 포스터,인테리어,4,0,1.96,0.0,4.24
2025-06-23,6,대용량 디퓨저,생활,7,0,1.44,0.0,4.45
2025-06-23,7,아로마 캔들 세트,생활,8,1,2.56,0.125,4.09
2025-06-23,8,무선 미니 가습기,가전,0,0,2.05,0.0,4.19
2025-06-23,9,탁상용 저소음 선풍기,가전,8,0,1.84,0.0,4.21
2025-06-23,10,프리미엄 호텔 침구 세트,침실,1,0,2.09,0.0,4.43
2025-06-24,1,감성 무드등,조명,5,0,1.85,0.0,4.38
2025-06-24,2,메모리폼 경추 베개,침실,3,0,1.53,0.0,4.64
2025-06-24,3,원목 핸들 머그컵,주방,6,0,2.05,0.0,4.19
2025-06-24,4,무광 세라믹 접시 세트,주방,9,0,1.61,0.0,3.75
2025-06-24,5,북유럽 패브릭 포스터,인테리어,3,0,1.93,0.0,4.35
2025-06-24,6,대용량 디퓨저,생활,4,0,1.51,0.0,4.51
2025-06-24,7,아로마 캔들 세트,생활,5,0,1.52,0.0,3.98
2025-06-24,8,무선 미니 가습기,가전,3,0,1.8,0.0,4.21
2025-06-24,9,탁상용 저소음 선풍기,가전,8,0,1.57,0.0,3.93
2025-06-24,10,프리미엄 호텔 침구 세트,침실,4,0,1.88,0.0,4.32
2025-06-25,1,감성 무드등,조명,6,0,1.09,0.0,4.43
2025-06-25,2,메모리폼 경추 베개,침실,6,0,1.93,0.0,4.56
2025-06-25,3,원목 핸들 머그컵,주방,10,0,1.68,0.0,4.14
2025-06-25,4,무광 세라믹 접시 세트,주방,9,1,1.77,0.1111,3.76
2025-06-25,5,북유럽 패브릭 포스터,인테리어,2,0,1.42,0.0,4.28
2025-06-25,6,대용량 디퓨저,생활,5,1,1.63,0.125,4.52
2025-06-25,7,아로마 캔들 세트,생활,4,0,1.86,0.0,3.84
2025-06-25,8,무선 미니 가습기,가전,2,0,2.18,0.0,4.3
2025-06-25,9,탁상용 저소음 선풍기,가전,9,0,1.26,0.0,4.08
2025-06-25,10,프리미엄 호텔 침구 세트,침실,1,0,2.1,0.0,4.39
2025-06-26,1,감성 무드등,조명,7,0,1.76,0.0,4.41
2025-06-26,2,메모리폼 경추 베개,침실,4,0,1.91,0.0,4.48
2025-06-26,3,원목 핸들 머그컵,주방,6,1,1.95,0.125,4.35
2025-06-26,4,무광 세라믹 접시 세트,주방,5,0,1.91,0.0,3.84
2025-06-26,5,북유럽 패브릭 포스터,인테리어,3,0,1.92,0.0,4.42
2025-06-26,6,대용량 디퓨저,생활,8,0,1.63,0.0,4.46
2025-06-26,7,아로마 캔들 세트,생활,6,0,1.59,0.0,3.93
2025-06-26,8,무선 미니 가습기,가전,5,0,2.17,0.0,4.27
2025-06-26,9,탁상용 저소음 선풍기,가전,7,0,1.92,0.0,4.11
2025-06-26,10,프리미엄 호텔 침구 세트,침실,5,0,1.71,0.0,4.38
2025-06-27,1,감성 무드등,조명,5,1,1.23,0.1429,4.3
2025-06-27,2,메모리폼 경추 베개,침실,3,0,1.58,0.0,4.43
2025-06-27,3,원목 핸들 머그컵,주방,6,0,1.75,0.0,4.3
2025-06-27,4,무광 세라믹 접시 세트,주방,4,0,1.51,0.0,3.75
2025-06-27,5,북유럽 패브릭 포스터,인테리어,5,0,1.88,0.0,4.3
2025-06-27,6,대용량 디퓨저,생활,7,0,1.52,0.0,4.47
2025-06-27,7,아로마 캔들 세트,생활,9,0,2.12,0.0,3.86
2025-06-27,8,무선 미니 가습기,가전,4,0,1.65,0.0,4.33
2025-06-27,9,탁상용 저소음 선풍기,가전,11,1,1.79,0.0714,4.1
2025-06-27,10,프리미엄 호텔 침구 세트,침실,3,0,2.09,0.0,4.3
2025-06-28,1,감성 무드등,조명,6,0,1.71,0.0,4.47
2025-06-28,2,메모리폼 경추 베개,침실,9,0,1.2,0.0,4.57
2025-06-28,3,원목 핸들 머그컵,주방,6,0,1.54,0.0,4.17
2025-06-28,4,무광 세라믹 접시 세트,주방,5,3,2.52,0.375,3.7
2025-06-28,5,북유럽 패브릭 포스터,인테리어,6,0,1.64,0.0,4.3
2025-06-28,6,대용량 디퓨저,생활,8,0,1.96,0.0,4.61
2025-06-28,7,아로마 캔들 세트,생활,8,0,2.13,0.0,3.93
2025-06-28,8,무선 미니 가습기,가전,5,0,1.45,0.0,4.06
2025-06-28,9,탁상용 저소음 선풍기,가전,12,0,2.17,0.0,4.16
2025-06-28,10,프리미엄 호텔 침구 세트,침실,5,0,2.21,0.0,4.36
2025-06-29,1,감성 무드등,조명,7,0,2.04,0.0,4.43
2025-06-29,2,메모리폼 경추 베개,침실,5,0,1.7,0.0,4.54
2025-06-29,3,원목 핸들 머그컵,주방,5,0,1.38,0.0,4.24
2025-06-29,4,무광 세라믹 접시 세트,주방,4,0,2.1,0.0,3.83
2025-06-29,5,북유럽 패브릭 포스터,인테리어,4,0,1.74,0.0,4.35
2025-06-29,6,대용량 디퓨저,생활,4,0,1.8,0.0,4.6
2025-06-29,7,아로마 캔들 세트,생활,7,1,1.76,0.1111,3.84
2025-06-29,8,무선 미니 가습기,가전,5,0,2.02,0.0,4.33
2025-06-29,9,탁상용 저소음 선풍기,가전,9,1,2.13,0.1,3.98
2025-06-29,10,프리미엄 호텔 침구 세트,침실,3,0,2.06,0.0,4.35
2025-06-30,1,감성 무드등,조명,5,0,1.54,0.0,4.31
2025-06-30,2,메모리폼 경추 베개,침실,5,0,1.86,0.0,4.43
2025-06-30,3,원목 핸들 머그컵,주방,8,0,1.68,0.0,4.18
2025-06-30,4,무광 세라믹 접시 세트,주방,7,0,2.05,0.0,3.72
2025-06-30,5,북유럽 패브릭 포스터,인테리어,2,0,2.15,0.0,4.36
2025-06-30,6,대용량 디퓨저,생활,6,0,1.48,0.0,4.39
2025-06-30,7,아로마 캔들 세트,생활,8,1,1.93,0.125,3.93
2025-06-30,8,무선 미니 가습기,가전,1,0,1.5,0.0,4.14
2025-06-30,9,탁상용 저소음 선풍기,가전,6,0,1.84,0.0,4.17
2025-06-30,10,프리미엄 호텔 침구 세트,침실,2,0,1.98,0.0,4.4
2025-07-01,1,감성 무드등,조명,4,0,1.86,0.0,4.52
2025-07-01,2,메모리폼 경추 베개,침실,6,1,2.02,0.1667,4.32
2025-07-01,3,원목 핸들 머그컵,주방,9,0,2.04,0.0,4.22
2025-07-01,4,무광 세라믹 접시 세트,주방,9,1,1.93,0.1111,3.75
2025-07-01,5,북유럽 패브릭 포스터,인테리어,3,0,1.84,0.0,4.19
2025-07-01,6,대용량 디퓨저,생활,10,0,1.59,0.0,4.5
2025-07-01,7,아로마 캔들 세트,생활,4,0,1.83,0.0,3.92
2025-07-01,8,무선 미니 가습기,가전,4,1,2.12,0.1429,4.27
2025-07-01,9,탁상용 저소음 선풍기,가전,7,1,1.39,0.125,3.98
2025-07-01,10,프리미엄 호텔 침구 세트,침실,5,0,1.81,0.0,4.32
2025-07-02,1,감성 무드등,조명,2,1,2.06,0.25,4.5
2025-07-02,2,메모리폼 경추 베개,침실,2,0,2.06,0.0,4.65
2025-07-02,3,원목 핸들 머그컵,주방,6,0,1.64,0.0,4.21
2025-07-02,4,무광 세라믹 접시 세트,주방,7,2,1.62,0.2222,3.76
2025-07-02,5,북유럽 패브릭 포스터,인테리어,4,0,1.84,0.0,4.43
2025-07-02,6,대용량 디퓨저,생활,5,0,1.48,0.0,4.43
2025-07-02,7,아로마 캔들 세트,생활,6,0,1.53,0.0,3.96
2025-07-02,8,무선 미니 가습기,가전,2,0,1.83,0.0,4.22
2025-07-02,9,탁상용 저소음 선풍기,가전,10,0,1.42,0.0,4.15
2025-07-02,10,프리미엄 호텔 침구 세트,침실,5,0,1.78,0.0,4.4
2025-07-03,1,감성 무드등,조명,5,0,2.25,0.0,4.49
2025-07-03,2,메모리폼 경추 베개,침실,5,1,2.21,0.125,4.53
2025-07-03,3,원목 핸들 머그컵,주방,9,0,1.84,0.0,4.3
2025-07-03,4,무광 세라믹 접시 세트,주방,9,3,2.42,0.3333,3.66
2025-07-03,5,북유럽 패브릭 포스터,인테리어,1,1,1.71,0.25,4.42
2025-07-03,6,대용량 디퓨저,생활,6,0,2.12,0.0,4.5
2025-07-03,7,아로마 캔들 세트,생활,6,0,2.26,0.0,3.98
2025-07-03,8,무선 미니 가습기,가전,5,0,1.6,0.0,4.16
2025-07-03,9,탁상용 저소음 선풍기,가전,8,1,2.1,0.1,4.17
2025-07-03,10,프리미엄 호텔 침구 세트,침실,3,0,2.17,0.0,4.27
2025-07-04,1,감성 무드등,조명,3,0,1.97,0.0,4.61
2025-07-04,2,메모리폼 경추 베개,침실,4,0,1.96,0.0,4.58
2025-07-04,3,원목 핸들 머그컵,주방,7,0,1.59,0.0,4.33
2025-07-04,4,무광 세라믹 접시 세트,주방,5,0,1.59,0.0,3.83
2025-07-04,5,북유럽 패브릭 포스터,인테리어,6,0,1.79,0.0,4.25
2025-07-04,6,대용량 디퓨저,생활,5,0,1.73,0.0,4.57
2025-07-04,7,아로마 캔들 세트,생활,9,2,2.34,0.2,3.98
2025-07-04,8,무선 미니 가습기,가전,6,0,1.43,0.0,4.23
2025-07-04,9,탁상용 저소음 선풍기,가전,17,0,1.92,0.0,3.96
2025-07-04,10,프리미엄 호텔 침구 세트,침실,5,0,1.7,0.0,4.26
2025-07-05,1,감성 무드등,조명,10,0,1.52,0.0,4.49
2025-07-05,2,메모리폼 경추 베개,침실,6,0,1.48,0.0,4.64
2025-07-05,3,원목 핸들 머그컵,주방,7,1,1.71,0.125,4.18
2025-07-05,4,무광 세라믹 접시 세트,주방,8,0,1.85,0.0,3.88
2025-07-05,5,북유럽 패브릭 포스터,인테리어,4,0,1.84,0.0,4.4
2025-07-05,6,대용량 디퓨저,생활,6,0,1.47,0.0,4.53
2025-07-05,7,아로마 캔들 세트,생활,6,0,1.56,0.0,3.96
2025-07-05,8,무선 미니 가습기,가전,4,1,2.06,0.1667,4.23
2025-07-05,9,탁상용 저소음 선풍기,가전,19,0,1.63,0.0,4.06
2025-07-05,10,프리미엄 호텔 침구 세트,침실,3,1,2.13,0.1667,4.36
2025-07-06,1,감성 무드등,조명,7,0,1.67,0.0,4.51
2025-07-06,2,메모리폼 경추 베개,침실,7,0,1.75,0.0,4.51
2025-07-06,3,원목 핸들 머그컵,주방,6,0,1.87,0.0,4.24
2025-07-06,4,무광 세라믹 접시 세트,주방,3,0,1.79,0.0,3.78
2025-07-06,5,북유럽 패브릭 포스터,인테리어,5,0,1.59,0.0,4.47
2025-07-06,6,대용량 디퓨저,생활,4,0,1.83,0.0,4.43
2025-07-06,7,아로마 캔들 세트,생활,11,1,1.96,0.0909,3.9
2025-07-06,8,무선 미니 가습기,가전,6,0,1.72,0.0,4.35
2025-07-06,9,탁상용 저소음 선풍기,가전,18,3,1.99,0.1667,3.98
2025-07-06,10,프리미엄 호텔 침구 세트,침실,7,0,1.85,0.0,4.45
2025-07-07,1,감성 무드등,조명,4,1,2.35,0.2,4.4
2025-07-07,2,메모리폼 경추 베개,침실,4,1,1.46,0.1429,4.66
2025-07-07,3,원목 핸들 머그컵,주방,8,0,1.72,0.0,4.08
2025-07-07,4,무광 세라믹 접시 세트,주방,8,0,1.56,0.0,3.79
2025-07-07,5,북유럽 패브릭 포스터,인테리어,4,0,1.79,0.0,4.39
2025-07-07,6,대용량 디퓨저,생활,9,0,1.61,0.0,4.45
2025-07-07,7,아로마 캔들 세트,생활,3,1,2.18,0.2,3.82
2025-07-07,8,무선 미니 가습기,가전,2,0,1.55,0.0,4.24
2025-07-07,9,탁상용 저소음 선풍기,가전,6,1,1.77,0.1429,4.04
2025-07-07,10,프리미엄 호텔 침구 세트,침실,0,1,1.59,0.3333,4.31
2025-07-08,1,감성 무드등,조명,5,0,1.56,0.0,4.44
2025-07-08,2,메모리폼 경추 베개,침실,6,0,2.16,0.0,4.65
2025-07-08,3,원목 핸들 머그컵,주방,9,1,1.75,0.0909,4.09
2025-07-08,4,무광 세라믹 접시 세트,주방,5,0,1.81,0.0,3.93
2025-07-08,5,북유럽 패브릭 포스터,인테리어,4,0,1.89,0.0,4.35
2025-07-08,6,대용량 디퓨저,생활,6,0,1.73,0.0,4.61
2025-07-08,7,아로마 캔들 세트,생활,3,0,2.08,0.0,3.96
2025-07-08,8,무선 미니 가습기,가전,3,1,2.14,0.3333,4.23
2025-07-08,9,탁상용 저소음 선풍기,가전,10,0,1.7,0.0,4.06
2025-07-08,10,프리미엄 호텔 침구 세트,침실,2,0,1.73,0.0,4.32
2025-07-09,1,감성 무드등,조명,5,0,1.59,0.0,4.37
2025-07-09,2,메모리폼 경추 베개,침실,4,0,2.15,0.0,4.5
2025-07-09,3,원목 핸들 머그컵,주방,8,0,1.87,0.0,4.21
2025-07-09,4,무광 세라믹 접시 세트,주방,6,0,1.7,0.0,3.76
2025-07-09,5,북유럽 패브릭 포스터,인테리어,1,0,1.59,0.0,4.36
2025-07-09,6,대용량 디퓨저,생활,9,1,2.17,0.1111,4.53
2025-07-09,7,아로마 캔들 세트,생활,7,1,1.96,0.1429,3.96
2025-07-09,8,무선 미니 가습기,가전,2,0,1.66,0.0,4.42
2025-07-09,9,탁상용 저소음 선풍기,가전,9,0,1.92,0.0,4.06
2025-07-09,10,프리미엄 호텔 침구 세트,침실,3,0,1.62,0.0,4.28
2025-07-10,1,감성 무드등,조명,6,0,1.72,0.0,4.36
2025-07-10,2,메모리폼 경추 베개,침실,4,1,1.91,0.1667,4.51
2025-07-10,3,원목 핸들 머그컵,주방,7,0,1.89,0.0,4.18
2025-07-10,4,무광 세라믹 접시 세트,주방,8,1,2.08,0.1111,3.82
2025-07-10,5,북유럽 패브릭 포스터,인테리어,3,1,1.91,0.2,4.14
2025-07-10,6,대용량 디퓨저,생활,8,0,1.42,0.0,4.43
2025-07-10,7,아로마 캔들 세트,생활,5,0,1.75,0.0,4.04
2025-07-10,8,무선 미니 가습기,가전,2,0,1.86,0.0,4.26
2025-07-10,9,탁상용 저소음 선풍기,가전,6,0,1.65,0.0,4.05
2025-07-10,10,프리미엄 호텔 침구 세트,침실,1,0,1.96,0.0,4.35
2025-07-11,1,감성 무드등,조명,8,1,2.11,0.125,4.36
2025-07-11,2,메모리폼 경추 베개,침실,4,0,2.12,0.0,4.6
2025-07-11,3,원목 핸들 머그컵,주방,7,0,1.72,0.0,4.26
2025-07-11,4,무광 세라믹 접시 세트,주방,5,0,1.91,0.0,3.86
2025-07-11,5,북유럽 패브릭 포스터,인테리어,4,0,1.88,0.0,4.27
2025-07-11,6,대용량 디퓨저,생활,7,0,1.69,0.0,4.36
2025-07-11,7,아로마 캔들 세트,생활,6,0,1.59,0.0,4.09
2025-07-11,8,무선 미니 가습기,가전,4,0,1.71,0.0,4.24
2025-07-11,9,탁상용 저소음 선풍기,가전,15,2,1.66,0.1111,3.98
2025-07-11,10,프리미엄 호텔 침구 세트,침실,7,0,1.88,0.0,4.4
2025-07-12,1,감성 무드등,조명,6,0,1.73,0.0,4.53
2025-07-12,2,메모리폼 경추 베개,침실,3,0,2.14,0.0,4.54
2025-07-12,3,원목 핸들 머그컵,주방,6,0,1.65,0.0,4.21
2025-07-12,4,무광 세라믹 접시 세트,주방,6,1,1.44,0.125,3.67
2025-07-12,5,북유럽 패브릭 포스터,인테리어,7,0,1.74,0.0,4.45
2025-07-12,6,대용량 디퓨저,생활,3,0,1.78,0.0,4.44
2025-07-12,7,아로마 캔들 세트,생활,8,0,1.9,0.0,3.88
2025-07-12,8,무선 미니 가습기,가전,6,0,2.08,0.0,4.12
2025-07-12,9,탁상용 저소음 선풍기,가전,22,1,1.98,0.0455,3.97
2025-07-12,10,프리미엄 호텔 침구 세트,침실,8,0,1.97,0.0,4.36
2025-07-13,1,감성 무드등,조명,9,0,1.18,0.0,4.42
2025-07-13,2,메모리폼 경추 베개,침실,7,0,2.42,0.0,4.61
2025-07-13,3,원목 핸들 머그컵,주방,7,1,2.1,0.1111,4.12
2025-07-13,4,무광 세라믹 접시 세트,주방,6,1,1.77,0.1667,3.68
2025-07-13,5,북유럽 패브릭 포스터,인테리어,3,0,2.13,0.0,4.35
2025-07-13,6,대용량 디퓨저,생활,8,1,2.26,0.1,4.43
2025-07-13,7,아로마 캔들 세트,생활,8,1,2.06,0.125,4.05
2025-07-13,8,무선 미니 가습기,가전,6,0,2.19,0.0,4.19
2025-07-13,9,탁상용 저소음 선풍기,가전,17,0,1.68,0.0,4.16
2025-07-13,10,프리미엄 호텔 침구 세트,침실,6,0,1.5,0.0,4.35
2025-07-14,1,감성 무드등,조명,1,0,1.42,0.0,4.39
2025-07-14,2,메모리폼 경추 베개,침실,5,0,2.02,0.0,4.62
2025-07-14,3,원목 핸들 머그컵,주방,12,0,1.8,0.0,4.17
2025-07-14,4,무광 세라믹 접시 세트,주방,9,0,1.52,0.0,3.86
2025-07-14,5,북유럽 패브릭 포스터,인테리어,0,0,2.09,0.0,4.37
2025-07-14,6,대용량 디퓨저,생활,9,1,2.04,0.1111,4.5
2025-07-14,7,아로마 캔들 세트,생활,6,0,1.54,0.0,4.02
2025-07-14,8,무선 미니 가습기,가전,3,0,1.99,0.0,4.19
2025-07-14,9,탁상용 저소음 선풍기,가전,10,0,2.02,0.0,4.03
2025-07-14,10,프리미엄 호텔 침구 세트,침실,3,1,1.81,0.1667,4.22
2025-07-15,1,감성 무드등,조명,5,0,1.56,0.0,4.31
2025-07-15,2,메모리폼 경추 베개,침실,5,0,1.63,0.0,4.63
2025-07-15,3,원목 핸들 머그컵,주방,8,1,2.2,0.1,4.18
2025-07-15,4,무광 세라믹 접시 세트,주방,6,1,2.12,0.125,3.9
2025-07-15,5,북유럽 패브릭 포스터,인테리어,0,0,1.56,0.0,4.35
2025-07-15,6,대용량 디퓨저,생활,6,0,1.91,0.0,4.56
2025-07-15,7,아로마 캔들 세트,생활,5,1,1.6,0.1667,3.85
2025-07-15,8,무선 미니 가습기,가전,5,0,2.01,0.0,4.24
2025-07-15,9,탁상용 저소음 선풍기,가전,7,0,1.08,0.0,3.99
2025-07-15,10,프리미엄 호텔 침구 세트,침실,5,1,1.79,0.2,4.32
2025-07-16,1,감성 무드등,조명,4,0,2.09,0.0,4.47
2025-07-16,2,메모리폼 경추 베개,침실,5,0,2.18,0.0,4.61
2025-07-16,3,원목 핸들 머그컵,주방,12,0,1.53,0.0,4.22
2025-07-16,4,무광 세라믹 접시 세트,주방,6,0,1.82,0.0,3.92
2025-07-16,5,북유럽 패브릭 포스터,인테리어,1,0,2.03,0.0,4.35
2025-07-16,6,대용량 디퓨저,생활,7,1,1.93,0.1111,4.35
2025-07-16,7,아로마 캔들 세트,생활,5,1,1.6,0.1429,3.9
2025-07-16,8,무선 미니 가습기,가전,2,0,1.44,0.0,4.28
2025-07-16,9,탁상용 저소음 선풍기,가전,4,0,1.49,0.0,4.08
2025-07-16,10,프리미엄 호텔 침구 세트,침실,2,1,1.43,0.25,4.47
2025-07-17,1,감성 무드등,조명,4,0,1.87,0.0,4.45
2025-07-17,2,메모리폼 경추 베개,침실,7,0,1.61,0.0,4.55
2025-07-17,3,원목 핸들 머그컵,주방,7,0,1.61,0.0,4.1
2025-07-17,4,무광 세라믹 접시 세트,주방,5,1,1.59,0.125,3.72
2025-07-17,5,북유럽 패브릭 포스터,인테리어,3,0,1.8,0.0,4.38
2025-07-17,6,대용량 디퓨저,생활,6,1,2.15,0.1111,4.6
2025-07-17,7,아로마 캔들 세트,생활,8,0,1.89,0.0,3.98
2025-07-17,8,무선 미니 가습기,가전,4,0,1.57,0.0,4.22
2025-07-17,9,탁상용 저소음 선풍기,가전,9,1,1.34,0.0909,4.03
2025-07-17,10,프리미엄 호텔 침구 세트,침실,4,0,2.01,0.0,4.42
2025-07-18,1,감성 무드등,조명,7,0,2.42,0.0,4.34
2025-07-18,2,메모리폼 경추 베개,침실,1,0,1.63,0.0,4.56
2025-07-18,3,원목 핸들 머그컵,주방,8,0,1.73,0.0,4.18
2025-07-18,4,무광 세라믹 접시 세트,주방,6,0,1.58,0.0,3.86
2025-07-18,5,북유럽 패브릭 포스터,인테리어,4,0,1.65,0.0,4.39
2025-07-18,6,대용량 디퓨저,생활,7,0,1.75,0.0,4.53
2025-07-18,7,아로마 캔들 세트,생활,4,1,2.33,0.1429,3.95
2025-07-18,8,무선 미니 가습기,가전,4,0,1.72,0.0,4.07
2025-07-18,9,탁상용 저소음 선풍기,가전,10,1,1.91,0.0769,3.95
2025-07-18,10,프리미엄 호텔 침구 세트,침실,5,0,1.64,0.0,4.27
2025-07-19,1,감성 무드등,조명,6,2,2.02,0.2222,4.38
2025-07-19,2,메모리폼 경추 베개,침실,5,1,1.83,0.125,4.54
2025-07-19,3,원목 핸들 머그컵,주방,5,0,1.57,0.0,4.17
2025-07-19,4,무광 세라믹 접시 세트,주방,3,1,1.86,0.3333,3.85
