
date,product_id,product_name,rating,review_count,inquiry_count,refund_count
2026-05-12,7,아로마 캔들 세트,3.96,3,1,1
2026-05-19,7,아로마 캔들 세트,4.08,7,0,1
2026-05-26,7,아로마 캔들 세트,4.66,5,2,0
2026-06-02,7,아로마 캔들 세트,4.75,3,1,0
2026-06-09,7,아로마 캔들 세트,4.7,6,1,0
2026-03-17,8,무선 미니 가습기,4.43,3,3,0
2026-03-24,8,무선 미니 가습기,4.17,5,3,1
2026-03-31,8,무선 미니 가습기,4.39,5,2,1
2026-04-07,8,무선 미니 가습기,4.21,6,3,1
2026-04-14,8,무선 미니 가습기,4.17,5,2,2
2026-04-21,8,무선 미니 가습기,3.67,5,0,1
2026-04-28,8,무선 미니 가습기,4.43,5,6,0
2026-05-05,8,무선 미니 가습기,4.22,4,3,0
2026-05-12,8,무선 미니 가습기,3.57,5,1,1
2026-05-19,8,무선 미니 가습기,3.81,4,4,1
2026-05-26,8,무선 미니 가습기,4.68,5,1,1
2026-06-02,8,무선 미니 가습기,3.83,8,1,0
2026-06-09,8,무선 미니 가습기,4.98,5,2,0
2026-03-17,9,탁상용 저소음 선풍기,4.35,3,2,0
2026-03-24,9,탁상용 저소음 선풍기,3.58,5,2,0
2026-03-31,9,탁상용 저소음 선풍기,3.68,4,1,0
2026-04-07,9,탁상용 저소음 선풍기,4.81,7,1,2
2026-04-14,9,탁상용 저소음 선풍기,3.96,5,4,0
2026-04-21,9,탁상용 저소음 선풍기,3.88,3,0,0
2026-04-28,9,탁상용 저소음 선풍기,4.37,8,1,2
2026-05-05,9,탁상용 저소음 선풍기,4.09,6,4,0
2026-05-12,9,탁상용 저소음 선풍기,4.71,9,1,1
2026-05-19,9,탁상용 저소음 선풍기,4.95,2,1,1
2026-05-26,9,탁상용 저소음 선풍기,4.83,4,0,0
2026-06-02,9,탁상용 저소음 선풍기,3.68,7,3,1
2026-06-09,9,탁상용 저소음 선풍기,4.04,9,1,0
2026-03-17,10,프리미엄 호텔 침구 세트,4.06,4,1,0
2026-03-24,10,프리미엄 호텔 침구 세트,4.49,4,4,0
2026-03-31,10,프리미엄 호텔 침구 세트,3.89,4,2,0
2026-04-07,10,프리미엄 호텔 침구 세트,3.68,2,3,0
2026-04-14,10,프리미엄 호텔 침구 세트,4.37,6,3,0
2026-04-21,10,프리미엄 호텔 침구 세트,4.54,3,1,0
2026-04-28,10,프리미엄 호텔 침구 세트,4.25,6,4,0
2026-05-05,10,프리미엄 호텔 침구 세트,4.63,4,2,0
2026-05-12,10,프리미엄 호텔 침구 세트,4.3,5,1,0
2026-05-19,10,프리미엄 호텔 침구 세트,3.57,5,6,1
2026-05-26,10,프리미엄 호텔 침구 세트,4.58,3,2,0
2026-06-02,10,프리미엄 호텔 침구 세트,4.7,4,3,2
2026-06-09,10,프리미엄 호텔 침구 세트,4.94,1,2,0
