date,customer_segment,acquisition_channel,new_customers,signups,returning_customers,repeat_purchase_rate,cart_abandon_rate,coupon_redemption_count
2025-06-16,휴면 복귀,Naver,0,0,0,0.2219,0.3933,0
2025-06-16,휴면 복귀,Instagram,0,0,0,0.2066,0.323,0
2025-06-17,신규 탐색,Meta,4,4,5,0.0978,0.2931,0
2025-06-17,신규 탐색,Google,0,0,0,0.116,0.2469,0
2025-06-17,신규 탐색,Naver,0,0,0,0.0915,0.3099,0
2025-06-17,신규 탐색,Instagram,4,4,1,0.1344,0.245,1
2025-06-17,가격 민감,Meta,0,0,2,0.1525,0.413,0
2025-06-17,가격 민감,Google,0,0,0,0.1634,0.4251,0
2025-06-17,가격 민감,Naver,0,0,0,0.199,0.3867,0
2025-06-17,가격 민감,Instagram,0,0,0,0.2141,0.4035,0
2025-06-17,재구매 후보,Meta,0,0,0,0.3599,0.2867,0
2025-06-17,재구매 후보,Google,0,0,2,0.3405,0.2462,0
2025-06-17,재구매 후보,Naver,0,0,0,0.3461,0.2479,0
2025-06-17,재구매 후보,Instagram,0,0,2,0.3778,0.1824,0
2025-06-17,VIP,Meta,2,2,2,0.5243,0.1379,0
2025-06-17,VIP,Google,0,0,0,0.5469,0.1595,0
2025-06-17,VIP,Naver,0,0,1,0.53,0.1847,0
2025-06-17,VIP,Instagram,1,1,3,0.5223,0.1489,0
2025-06-17,휴면 복귀,Meta,0,0,0,0.228,0.2978,0
2025-06-17,휴면 복귀,Google,2,2,2,0.2554,0.3227,0
2025-06-17,휴면 복귀,Naver,1,1,2,0.2064,0.3653,0
2025-06-17,휴면 복귀,Instagram,0,0,0,0.1718,0.3513,0
2025-06-18,신규 탐색,Meta,0,0,1,0.1605,0.3299,0
2025-06-18,신규 탐색,Google,2,2,0,0.1657,0.341,0
2025-06-18,신규 탐색,Naver,0,0,0,0.1297,0.3111,0
2025-06-18,신규 탐색,Instagram,0,0,0,0.1553,0.2364,0
2025-06-18,가격 민감,Meta,0,0,0,0.1774,0.4237,0
2025-06-18,가격 민감,Google,3,3,0,0.1768,0.4197,0
2025-06-18,가격 민감,Naver,3,3,0,0.2038,0.4103,2
2025-06-18,가격 민감,Instagram,3,3,0,0.1919,0.3836,1
2025-06-18,재구매 후보,Meta,2,2,2,0.3896,0.2044,0
2025-06-18,재구매 후보,Google,3,4,0,0.3632,0.26,1
2025-06-18,재구매 후보,Naver,3,3,4,0.3094,0.2875,0
2025-06-18,재구매 후보,Instagram,2,2,0,0.3154,0.2302,1
2025-06-18,VIP,Meta,2,2,0,0.5048,0.1642,0
2025-06-18,VIP,Google,0,0,0,0.5445,0.1747,0
2025-06-18,VIP,Naver,0,0,0,0.4794,0.1739,0
2025-06-18,VIP,Instagram,4,4,5,0.4783,0.1272,0
2025-06-18,휴면 복귀,Meta,0,0,0,0.2641,0.3441,0
2025-06-18,휴면 복귀,Google,4,4,1,0.2346,0.3444,0
2025-06-18,휴면 복귀,Naver,4,4,3,0.2697,0.2746,0
2025-06-18,휴면 복귀,Instagram,0,0,0,0.1912,0.3384,0
2025-06-19,신규 탐색,Meta,3,3,0,0.154,0.298,0
2025-06-19,신규 탐색,Google,0,0,0,0.1687,0.2781,0
2025-06-19,신규 탐색,Naver,0,0,0,0.1318,0.2667,0
2025-06-19,신규 탐색,Instagram,2,2,2,0.1438,0.2988,0
2025-06-19,가격 민감,Meta,0,0,0,0.2542,0.3722,0
2025-06-19,가격 민감,Google,3,3,0,0.2063,0.404,0
2025-06-19,가격 민감,Naver,1,1,1,0.2015,0.427,0
2025-06-19,가격 민감,Instagram,0,0,1,0.1554,0.3933,0
2025-06-19,재구매 후보,Meta,0,0,1,0.3652,0.2777,0
2025-06-19,재구매 후보,Google,2,2,2,0.3651,0.2244,0
2025-06-19,재구매 후보,Naver,1,1,3,0.3267,0.258,0
2025-06-19,재구매 후보,Instagram,0,0,0,0.289,0.2816,0
2025-06-19,VIP,Meta,0,0,0,0.5011,0.1617,0
2025-06-19,VIP,Google,4,4,2,0.5229,0.1461,1
2025-06-19,VIP,Naver,0,0,0,0.4941,0.1439,0
2025-06-19,VIP,Instagram,0,0,0,0.5155,0.1156,0
2025-06-19,휴면 복귀,Meta,0,0,0,0.2361,0.3142,0
2025-06-19,휴면 복귀,Google,2,2,0,0.2391,0.315,0
2025-06-19,휴면 복귀,Naver,2,2,0,0.2614,0.3188,0
2025-06-19,휴면 복귀,Instagram,0,0,0,0.2191,0.3371,0
2025-06-20,신규 탐색,Meta,0,0,1,0.1149,0.2887,0
2025-06-20,신규 탐색,Google,1,1,0,0.1526,0.3491,0
2025-06-20,신규 탐색,Naver,3,3,0,0.0788,0.3293,0
2025-06-20,신규 탐색,Instagram,5,6,0,0.0752,0.3113,1
2025-06-20,가격 민감,Meta,2,2,0,0.1926,0.3972,0
2025-06-20,가격 민감,Google,3,3,0,0.1667,0.3555,0
2025-06-20,가격 민감,Naver,1,1,0,0.1893,0.3931,0
2025-06-20,가격 민감,Instagram,3,3,0,0.1574,0.385,1
2025-06-20,재구매 후보,Meta,4,4,0,0.327,0.2377,0
2025-06-20,재구매 후보,Google,1,1,2,0.3451,0.2496,1
2025-06-20,재구매 후보,Naver,0,0,0,0.2809,0.2233,0
2025-06-20,재구매 후보,Instagram,3,3,1,0.3423,0.2611,0
2025-06-20,VIP,Meta,0,0,0,0.5184,0.1475,0
2025-06-20,VIP,Google,0,0,0,0.5829,0.1393,0
2025-06-20,VIP,Naver,0,0,0,0.5107,0.1465,0
2025-06-20,VIP,Instagram,0,0,0,0.55,0.1119,0
2025-06-20,휴면 복귀,Meta,1,1,0,0.2356,0.3521,0
2025-06-20,휴면 복귀,Google,0,0,0,0.2107,0.3085,0
2025-06-20,휴면 복귀,Naver,1,1,1,0.2428,0.3554,0
2025-06-20,휴면 복귀,Instagram,0,0,0,0.2541,0.3567,0
2025-06-21,신규 탐색,Meta,4,4,0,0.1368,0.3393,0
2025-06-21,신규 탐색,Google,5,5,0,0.1517,0.3223,1
2025-06-21,신규 탐색,Naver,2,2,0,0.1364,0.2485,0
2025-06-21,신규 탐색,Instagram,5,5,3,0.1553,0.3556,0
2025-06-21,가격 민감,Meta,0,0,0,0.1773,0.3795,0
2025-06-21,가격 민감,Google,2,2,0,0.1799,0.384,0
2025-06-21,가격 민감,Naver,0,0,1,0.1907,0.3714,0
2025-06-21,가격 민감,Instagram,2,2,0,0.1909,0.3867,1
2025-06-21,재구매 후보,Meta,3,3,0,0.3941,0.2019,0
2025-06-21,재구매 후보,Google,1,1,0,0.3474,0.2452,0
2025-06-21,재구매 후보,Naver,2,2,0,0.3145,0.2604,0
2025-06-21,재구매 후보,Instagram,0,0,0,0.3638,0.2937,0
2025-06-21,VIP,Meta,0,0,0,0.5047,0.1492,0
2025-06-21,VIP,Google,0,0,0,0.5698,0.1617,0
2025-06-21,VIP,Naver,0,0,0,0.5303,0.1586,0
2025-06-21,VIP,Instagram,3,3,3,0.556,0.1509,0
2025-06-21,휴면 복귀,Meta,0,0,0,0.2608,0.3368,0
2025-06-21,휴면 복귀,Google,4,4,0,0.236,0.3455,0
2025-06-21,휴면 복귀,Naver,0,0,0,0.2475,0.3081,0
2025-06-21,휴면 복귀,Instagram,1,1,0,0.2499,0.3132,0
2025-06-22,신규 탐색,Meta,0,0,0,0.1252,0.3529,0
2025-06-22,신규 탐색,Google,1,1,0,0.1778,0.3079,0
2025-06-22,신규 탐색,Naver,2,2,2,0.1557,0.2979,1
2025-06-22,신규 탐색,Instagram,1,1,2,0.1137,0.324,0
2025-06-22,가격 민감,Meta,0,0,0,0.1865,0.3945,0
2025-06-22,가격 민감,Google,0,0,0,0.2088,0.3978,0
2025-06-22,가격 민감,Naver,0,0,0,0.175,0.3691,0
2025-06-22,가격 민감,Instagram,1,1,1,0.2023,0.387,0
2025-06-22,재구매 후보,Meta,1,1,2,0.3366,0.2496,0
2025-06-22,재구매 후보,Google,0,0,2,0.3906,0.2291,0
2025-06-22,재구매 후보,Naver,0,0,0,0.3208,0.241,0
2025-06-22,재구매 후보,Instagram,2,2,1,0.3402,0.2274,0
2025-06-22,VIP,Meta,0,0,0,0.5188,0.1493,0
2025-06-22,VIP,Google,0,0,0,0.4989,0.165,0
2025-06-22,VIP,Naver,1,1,1,0.5165,0.1471,0
2025-06-22,VIP,Instagram,0,0,0,0.5071,0.1698,0
2025-06-22,휴면 복귀,Meta,3,3,0,0.2176,0.3427,0
2025-06-22,휴면 복귀,Google,0,0,0,0.2115,0.266,0
2025-06-22,휴면 복귀,Naver,1,1,0,0.2362,0.343,0
2025-06-22,휴면 복귀,Instagram,1,1,0,0.2248,0.3571,0
2025-06-23,신규 탐색,Meta,4,4,0,0.1149,0.3342,1
2025-06-23,신규 탐색,Google,4,5,0,0.1517,0.2712,0
2025-06-23,신규 탐색,Naver,7,9,0,0.1303,0.3132,1
2025-06-23,신규 탐색,Instagram,2,2,0,0.1204,0.3538,0
2025-06-23,가격 민감,Meta,0,0,2,0.1395,0.4224,0
2025-06-23,가격 민감,Google,1,1,1,0.1992,0.3611,1
2025-06-23,가격 민감,Naver,0,0,1,0.1609,0.382,0
2025-06-23,가격 민감,Instagram,1,1,0,0.1978,0.3657,0
2025-06-23,재구매 후보,Meta,2,2,2,0.3629,0.3191,0
2025-06-23,재구매 후보,Google,0,0,0,0.3984,0.2035,0
2025-06-23,재구매 후보,Naver,5,5,4,0.3654,0.236,1
2025-06-23,재구매 후보,Instagram,0,0,0,0.3128,0.2442,0
2025-06-23,VIP,Meta,1,1,0,0.5411,0.1764,0
2025-06-23,VIP,Google,0,0,1,0.5551,0.2001,0
2025-06-23,VIP,Naver,4,5,2,0.5241,0.1547,0
2025-06-23,VIP,Instagram,0,0,0,0.5506,0.1397,0
2025-06-23,휴면 복귀,Meta,0,0,0,0.2276,0.3256,0
2025-06-23,휴면 복귀,Google,4,4,0,0.2264,0.3237,0
2025-06-23,휴면 복귀,Naver,0,0,0,0.2757,0.3481,0
2025-06-23,휴면 복귀,Instagram,0,0,0,0.2202,0.321,0
2025-06-24,신규 탐색,Meta,2,2,0,0.1703,0.2996,0
2025-06-24,신규 탐색,Google,0,0,1,0.0975,0.3081,0
2025-06-24,신규 탐색,Naver,0,0,0,0.0867,0.2977,0
2025-06-24,신규 탐색,Instagram,0,0,0,0.1401,0.3198,0
2025-06-24,가격 민감,Meta,1,1,2,0.182,0.3845,0
2025-06-24,가격 민감,Google,0,0,0,0.163,0.4208,0
2025-06-24,가격 민감,Naver,0,0,0,0.1691,0.3269,0
2025-06-24,가격 민감,Instagram,4,5,1,0.1822,0.3873,0
2025-06-24,재구매 후보,Meta,0,0,0,0.3618,0.2899,0
2025-06-24,재구매 후보,Google,0,0,0,0.3642,0.2568,0
2025-06-24,재구매 후보,Naver,0,0,0,0.3215,0.2358,0
2025-06-24,재구매 후보,Instagram,2,2,0,0.3403,0.2475,0
2025-06-24,VIP,Meta,1,1,0,0.4998,0.1884,0
2025-06-24,VIP,Google,0,0,2,0.5062,0.1475,0
2025-06-24,VIP,Naver,1,1,0,0.5243,0.1517,0
2025-06-24,VIP,Instagram,1,1,0,0.5706,0.1901,0
2025-06-24,휴면 복귀,Meta,2,2,2,0.2336,0.3839,0
2025-06-24,휴면 복귀,Google,3,3,4,0.1872,0.2786,0
2025-06-24,휴면 복귀,Naver,3,3,1,0.242,0.3125,0
2025-06-24,휴면 복귀,Instagram,0,0,0,0.2425,0.3142,0
2025-06-25,신규 탐색,Meta,0,0,0,0.0871,0.2883,0
2025-06-25,신규 탐색,Google,2,2,0,0.1869,0.2559,0
2025-06-25,신규 탐색,Naver,1,1,1,0.1356,0.2883,0
2025-06-25,신규 탐색,Instagram,0,0,0,0.1101,0.2866,0
2025-06-25,가격 민감,Meta,0,0,0,0.1501,0.3641,0
2025-06-25,가격 민감,Google,0,0,0,0.14,0.3866,0
2025-06-25,가격 민감,Naver,0,0,0,0.2034,0.3916,0
2025-06-25,가격 민감,Instagram,2,2,2,0.2068,0.3343,0
2025-06-25,재구매 후보,Meta,0,0,0,0.3597,0.2149,0
2025-06-25,재구매 후보,Google,1,1,0,0.3869,0.2407,0
2025-06-25,재구매 후보,Naver,0,0,0,0.3474,0.2554,0
2025-06-25,재구매 후보,Instagram,0,0,0,0.3399,0.2229,0
2025-06-25,VIP,Meta,0,0,0,0.5068,0.1661,0
2025-06-25,VIP,Google,5,5,6,0.5018,0.1756,1
2025-06-25,VIP,Naver,0,0,0,0.5407,0.1292,0
2025-06-25,VIP,Instagram,1,1,0,0.545,0.1708,0
2025-06-25,휴면 복귀,Meta,2,2,1,0.2369,0.3362,1
2025-06-25,휴면 복귀,Google,0,0,1,0.2298,0.3308,0
2025-06-25,휴면 복귀,Naver,0,0,0,0.2143,0.3079,0
2025-06-25,휴면 복귀,Instagram,0,0,0,0.2185,0.3284,0
2025-06-26,신규 탐색,Meta,2,2,0,0.1233,0.3267,0
2025-06-26,신규 탐색,Google,6,7,1,0.1543,0.2678,2
2025-06-26,신규 탐색,Naver,3,3,0,0.167,0.3098,0
2025-06-26,신규 탐색,Instagram,0,0,0,0.1169,0.3373,0
2025-06-26,가격 민감,Meta,1,1,0,0.2089,0.4059,1
2025-06-26,가격 민감,Google,5,5,0,0.1961,0.3529,0
2025-06-26,가격 민감,Naver,0,0,0,0.1735,0.3747,0
2025-06-26,가격 민감,Instagram,1,1,0,0.1974,0.3663,0
2025-06-26,재구매 후보,Meta,4,5,3,0.3098,0.2336,1
2025-06-26,재구매 후보,Google,2,2,0,0.3171,0.2574,0
2025-06-26,재구매 후보,Naver,1,1,0,0.3709,0.2298,0
2025-06-26,재구매 후보,Instagram,2,2,2,0.343,0.225,1
2025-06-26,VIP,Meta,0,0,0,0.5365,0.1764,0
2025-06-26,VIP,Google,2,2,0,0.5376,0.1689,1
2025-06-26,VIP,Naver,2,2,0,0.5373,0.1476,1
2025-06-26,VIP,Instagram,0,0,3,0.54,0.1614,0
2025-06-26,휴면 복귀,Meta,0,0,0,0.2548,0.3533,0
2025-06-26,휴면 복귀,Google,0,0,0,0.2197,0.34,0
2025-06-26,휴면 복귀,Naver,0,0,0,0.2536,0.3581,0
2025-06-26,휴면 복귀,Instagram,2,2,2,0.2634,0.3431,0
2025-06-27,신규 탐색,Meta,0,0,3,0.1405,0.2436,0
2025-06-27,신규 탐색,Google,5,6,0,0.1509,0.3136,0
2025-06-27,신규 탐색,Naver,7,8,2,0.0858,0.3168,3
2025-06-27,신규 탐색,Instagram,3,4,0,0.1309,0.3,1
2025-06-27,가격 민감,Meta,0,0,0,0.1937,0.411,0
2025-06-27,가격 민감,Google,6,7,0,0.1896,0.3846,0
2025-06-27,가격 민감,Naver,3,3,3,0.1653,0.403,0
2025-06-27,가격 민감,Instagram,2,2,0,0.1703,0.3875,1
2025-06-27,재구매 후보,Meta,0,0,1,0.3201,0.2319,0
2025-06-27,재구매 후보,Google,0,0,0,0.3363,0.2536,0
2025-06-27,재구매 후보,Naver,0,0,1,0.3152,0.2579,0
2025-06-27,재구매 후보,Instagram,0,0,0,0.3115,0.2533,0
2025-06-27,VIP,Meta,2,2,3,0.4956,0.1293,0
2025-06-27,VIP,Google,1,1,0,0.5213,0.1954,1
2025-06-27,VIP,Naver,1,1,2,0.5144,0.1555,0
2025-06-27,VIP,Instagram,0,0,0,0.5399,0.1539,0
2025-06-27,휴면 복귀,Meta,0,0,0,0.2071,0.3363,0
2025-06-27,휴면 복귀,Google,1,1,2,0.2347,0.3796,0
2025-06-27,휴면 복귀,Naver,0,0,0,0.2302,0.3126,0
2025-06-27,휴면 복귀,Instagram,1,1,0,0.1867,0.2967,0
2025-06-28,신규 탐색,Meta,0,0,0,0.1338,0.2979,0
2025-06-28,신규 탐색,Google,5,6,0,0.1416,0.3006,1
2025-06-28,신규 탐색,Naver,2,2,0,0.1385,0.3123,1
2025-06-28,신규 탐색,Instagram,0,0,0,0.1351,0.3096,0
2025-06-28,가격 민감,Meta,0,0,0,0.1697,0.3913,0
2025-06-28,가격 민감,Google,0,0,0,0.2011,0.3624,0
2025-06-28,가격 민감,Naver,0,0,0,0.1816,0.4329,0
2025-06-28,가격 민감,Instagram,0,0,0,0.1288,0.3611,0
2025-06-28,재구매 후보,Meta,0,0,1,0.2988,0.2335,0
2025-06-28,재구매 후보,Google,2,2,0,0.3696,0.2633,0
2025-06-28,재구매 후보,Naver,0,0,0,0.3663,0.2476,0
2025-06-28,재구매 후보,Instagram,0,0,0,0.3352,0.2133,0
2025-06-28,VIP,Meta,0,0,0,0.5582,0.2132,0
2025-06-28,VIP,Google,0,0,1,0.5213,0.1945,0
2025-06-28,VIP,Naver,0,0,1,0.4988,0.1656,0
2025-06-28,VIP,Instagram,0,0,0,0.5201,0.1646,0
2025-06-28,휴면 복귀,Meta,0,0,0,0.2434,0.3492,0
2025-06-28,휴면 복귀,Google,0,0,0,0.2482,0.3456,0
2025-06-28,휴면 복귀,Naver,0,0,0,0.2076,0.2862,0
2025-06-28,휴면 복귀,Instagram,0,0,0,0.2496,0.3412,0
2025-06-29,신규 탐색,Meta,1,1,0,0.0759,0.2986,0
2025-06-29,신규 탐색,Google,3,3,1,0.1361,0.3096,1
2025-06-29,신규 탐색,Naver,0,0,0,0.1118,0.3009,0
2025-06-29,신규 탐색,Instagram,2,2,0,0.1857,0.3358,0
2025-06-29,가격 민감,Meta,0,0,1,0.1344,0.3716,0
2025-06-29,가격 민감,Google,0,0,0,0.1816,0.386,0
2025-06-29,가격 민감,Naver,3,3,2,0.1907,0.3889,1
2025-06-29,가격 민감,Instagram,2,2,0,0.169,0.3682,1
2025-06-29,재구매 후보,Meta,3,3,0,0.3417,0.2752,0
2025-06-29,재구매 후보,Google,0,0,0,0.3885,0.2227,0
2025-06-29,재구매 후보,Naver,2,2,3,0.3122,0.2608,0
2025-06-29,재구매 후보,Instagram,4,5,3,0.2968,0.3007,0
2025-06-29,VIP,Meta,0,0,0,0.5378,0.1647,0
2025-06-29,VIP,Google,0,0,0,0.4884,0.1717,0
2025-06-29,VIP,Naver,1,1,0,0.5046,0.2004,0
2025-06-29,VIP,Instagram,3,3,5,0.5275,0.136,0
2025-06-29,휴면 복귀,Meta,0,0,0,0.1903,0.3878,0
2025-06-29,휴면 복귀,Google,0,0,0,0.2133,0.3287,0
2025-06-29,휴면 복귀,Naver,0,0,2,0.23,0.3203,0
2025-06-29,휴면 복귀,Instagram,1,1,0,0.2675,0.3176,0
2025-06-30,신규 탐색,Meta,1,1,1,0.1064,0.2646,0
2025-06-30,신규 탐색,Google,1,1,0,0.1479,0.3533,0
2025-06-30,신규 탐색,Naver,0,0,0,0.1121,0.3024,0
2025-06-30,신규 탐색,Instagram,0,0,0,0.1227,0.2724,0
2025-06-30,가격 민감,Meta,3,3,1,0.1601,0.3462,0
2025-06-30,가격 민감,Google,2,2,2,0.2065,0.4285,1
2025-06-30,가격 민감,Naver,0,0,3,0.1496,0.3748,0
2025-06-30,가격 민감,Instagram,0,0,1,0.2237,0.3778,0
2025-06-30,재구매 후보,Meta,0,0,1,0.3189,0.2439,0
2025-06-30,재구매 후보,Google,0,0,1,0.3639,0.2869,0
2025-06-30,재구매 후보,Naver,0,0,1,0.3409,0.268,0
2025-06-30,재구매 후보,Instagram,0,0,2,0.3473,0.2542,0
2025-06-30,VIP,Meta,2,2,3,0.5804,0.1873,0
2025-06-30,VIP,Google,0,0,0,0.4858,0.1928,0
2025-06-30,VIP,Naver,3,3,1,0.5631,0.1546,0
2025-06-30,VIP,Instagram,0,0,1,0.5363,0.1856,0
2025-06-30,휴면 복귀,Meta,2,2,1,0.2663,0.3137,1
2025-06-30,휴면 복귀,Google,0,0,0,0.2032,0.287,0
2025-06-30,휴면 복귀,Naver,0,0,0,0.2985,0.3309,0
2025-06-30,휴면 복귀,Instagram,1,1,1,0.2066,0.2746,1
2025-07-01,신규 탐색,Meta,0,0,0,0.1232,0.2778,0
2025-07-01,신규 탐색,Google,2,2,0,0.1547,0.2781,0
2025-07-01,신규 탐색,Naver,1,1,1,0.1311,0.3064,0
2025-07-01,신규 탐색,Instagram,0,0,0,0.141,0.322,0
2025-07-01,가격 민감,Meta,0,0,0,0.1863,0.3842,0
2025-07-01,가격 민감,Google,4,4,0,0.1418,0.3792,0
2025-07-01,가격 민감,Naver,3,3,0,0.1859,0.3935,0
2025-07-01,가격 민감,Instagram,2,2,0,0.1836,0.3948,1
2025-07-01,재구매 후보,Meta,1,1,0,0.3079,0.2409,0
2025-07-01,재구매 후보,Google,2,2,1,0.3252,0.2787,0
2025-07-01,재구매 후보,Naver,0,0,1,0.3994,0.2789,0
2025-07-01,재구매 후보,Instagram,2,2,1,0.4051,0.1901,0
2025-07-01,VIP,Meta,0,0,1,0.5102,0.1697,0
2025-07-01,VIP,Google,0,0,0,0.5144,0.1794,0
2025-07-01,VIP,Naver,0,0,0,0.4945,0.1351,0
2025-07-01,VIP,Instagram,2,2,0,0.4804,0.1889,1
2025-07-01,휴면 복귀,Meta,3,3,0,0.2827,0.3364,1
2025-07-01,휴면 복귀,Google,2,2,0,0.2071,0.3332,0
2025-07-01,휴면 복귀,Naver,2,2,0,0.2208,0.3349,0
2025-07-01,휴면 복귀,Instagram,0,0,0,0.2506,0.3043,0
2025-07-02,신규 탐색,Meta,0,0,0,0.0994,0.3024,0
2025-07-02,신규 탐색,Google,5,6,3,0.1582,0.291,0
2025-07-02,신규 탐색,Naver,2,2,0,0.1396,0.3035,0
2025-07-02,신규 탐색,Instagram,2,2,0,0.1458,0.297,1
2025-07-02,가격 민감,Meta,0,0,0,0.1873,0.3894,0
2025-07-02,가격 민감,Google,1,1,0,0.2108,0.4148,0
2025-07-02,가격 민감,Naver,0,0,0,0.2081,0.419,0
2025-07-02,가격 민감,Instagram,0,0,0,0.2059,0.3882,0
2025-07-02,재구매 후보,Meta,1,1,0,0.2966,0.2534,0
2025-07-02,재구매 후보,Google,2,2,1,0.3619,0.2371,1
2025-07-02,재구매 후보,Naver,1,1,0,0.2972,0.2089,0
2025-07-02,재구매 후보,Instagram,2,2,0,0.3191,0.2226,0
2025-07-02,VIP,Meta,3,4,4,0.5229,0.1534,0
2025-07-02,VIP,Google,1,1,2,0.5459,0.1651,0
2025-07-02,VIP,Naver,1,1,0,0.5369,0.1561,0
2025-07-02,VIP,Instagram,0,0,0,0.532,0.1702,0
2025-07-02,휴면 복귀,Meta,3,3,1,0.2379,0.3418,0
2025-07-02,휴면 복귀,Google,0,0,2,0.2557,0.2595,0
2025-07-02,휴면 복귀,Naver,0,0,1,0.2132,0.3131,0
2025-07-02,휴면 복귀,Instagram,2,2,1,0.1897,0.355,0
2025-07-03,신규 탐색,Meta,0,0,0,0.0868,0.2814,0
2025-07-03,신규 탐색,Google,1,1,0,0.1654,0.316,0
2025-07-03,신규 탐색,Naver,2,2,0,0.1057,0.2742,0
2025-07-03,신규 탐색,Instagram,2,2,1,0.1487,0.305,0
2025-07-03,가격 민감,Meta,0,0,0,0.1776,0.3841,0
2025-07-03,가격 민감,Google,0,0,0,0.1785,0.4006,0
2025-07-03,가격 민감,Naver,0,0,0,0.2277,0.4077,0
2025-07-03,가격 민감,Instagram,0,0,0,0.1305,0.3712,0
2025-07-03,재구매 후보,Meta,1,1,0,0.3577,0.2028,0
2025-07-03,재구매 후보,Google,2,2,1,0.3718,0.2319,0
2025-07-03,재구매 후보,Naver,0,0,0,0.3343,0.2441,0
2025-07-03,재구매 후보,Instagram,0,0,1,0.2876,0.275,0
2025-07-03,VIP,Meta,1,1,2,0.5202,0.1272,0
2025-07-03,VIP,Google,5,6,0,0.5265,0.2164,0
2025-07-03,VIP,Naver,1,1,0,0.4984,0.1599,0
2025-07-03,VIP,Instagram,2,2,1,0.5141,0.194,0
2025-07-03,휴면 복귀,Meta,1,1,0,0.2475,0.3154,0
2025-07-03,휴면 복귀,Google,3,3,0,0.2603,0.2765,0
2025-07-03,휴면 복귀,Naver,0,0,0,0.2732,0.3384,0
2025-07-03,휴면 복귀,Instagram,2,2,0,0.2611,0.3427,0
2025-07-04,신규 탐색,Meta,0,0,0,0.0687,0.3401,0
2025-07-04,신규 탐색,Google,4,4,3,0.1727,0.3371,0
2025-07-04,신규 탐색,Naver,2,2,0,0.1291,0.3126,1
2025-07-04,신규 탐색,Instagram,0,0,1,0.133,0.2981,0
2025-07-04,가격 민감,Meta,1,1,0,0.1925,0.4028,0
2025-07-04,가격 민감,Google,1,1,0,0.1761,0.389,0
2025-07-04,가격 민감,Naver,0,0,0,0.1524,0.3959,0
2025-07-04,가격 민감,Instagram,3,3,1,0.152,0.3764,2
2025-07-04,재구매 후보,Meta,2,2,0,0.3436,0.286,0
2025-07-04,재구매 후보,Google,1,1,0,0.3943,0.2046,0
2025-07-04,재구매 후보,Naver,2,2,0,0.3337,0.1739,1
2025-07-04,재구매 후보,Instagram,2,2,0,0.2897,0.2377,0
2025-07-04,VIP,Meta,1,1,0,0.5168,0.1787,0
2025-07-04,VIP,Google,1,1,0,0.5218,0.1485,0
